species_code,common_name,scientific_name,prediction_year,region_type,region_code,region_name,continent_code,continent_name,season,start_date,end_date,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-KS,Kansas,NA,North America,year_round,2023-01-04,2023-12-27,1.9962227826164425,0.03089677419283725,0.03089677419283725,0.80324706818406,0.03857903906797892,365,2023-11-22,0.03428741533194981
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-KY,Kentucky,NA,North America,year_round,2023-01-04,2023-12-27,4.524973261375553,0.03441405330949906,0.03441405330949906,0.9995366434845518,0.02358938703155003,365,2023-01-11,0.04347269763465385
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-LA,Louisiana,NA,North America,year_round,2023-01-04,2023-12-27,4.616974606300939,0.0419987272403142,0.0419987272403142,0.8950921615059616,0.02526646725531323,365,2023-07-05,0.04967019480514217
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-MA,Massachusetts,NA,North America,year_round,2023-01-04,2023-12-27,1.75852826195955,0.00306997135503627,0.00306997135503627,0.8087162065104528,0.00438106042398955,365,2023-11-15,0.00373860641291653
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-MD,Maryland,NA,North America,year_round,2023-01-04,2023-12-27,3.9600723807670937,0.00857941941846406,0.00857941941846406,0.9110230769350054,0.00612466416097299,365,2023-10-04,0.00965568985837304
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-ME,Maine,NA,North America,year_round,2023-01-04,2023-12-27,0.16051038002301815,0.00103869221174763,0.00103869221174763,0.2338707675781681,0.00469632148965309,365,2023-03-01,0.00137115699967157
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-MI,Michigan,NA,North America,year_round,2023-01-04,2023-12-27,1.1438801487903818,0.01352550404082363,0.01352550404082363,0.5757565262894425,0.02112564271747637,365,2023-02-15,0.01523053824552477
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-MN,Minnesota,NA,North America,year_round,2023-01-04,2023-12-27,0.2755620893225634,0.00435051302704811,0.00435051302704811,0.25497373315390504,0.0124914994453589,365,2023-02-22,0.00569046371193328
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-MO,Missouri,NA,North America,year_round,2023-01-04,2023-12-27,4.331080842222409,0.05684541526634414,0.05684541526634414,0.9980483707992605,0.04064890669497215,365,2023-02-08,0.07040739119031046
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-MS,Mississippi,NA,North America,year_round,2023-01-04,2023-12-27,4.420833335453708,0.04010101848211431,0.04010101848211431,0.991952973231276,0.02792161084746479,365,2023-10-11,0.04693300117656583
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-NC,North Carolina,NA,North America,year_round,2023-01-04,2023-12-27,3.613696662710467,0.0352859227707653,0.0352859227707653,0.9390537521013966,0.02845367474604354,365,2023-10-04,0.04265244499618563
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-ND,North Dakota,NA,North America,year_round,2023-01-04,2023-12-27,2.463370562888189e-4,3.271821851825078e-6,3.271821851825078e-6,0.00177506239478591,7.315965530644501e-5,365,2023-11-08,6.194905995808402e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-NE,Nebraska,NA,North America,year_round,2023-01-04,2023-12-27,0.8032696823546176,0.01174005828521122,0.01174005828521122,0.7036958820167467,0.03191479158585807,365,2023-05-17,0.01442920090815435
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-NH,New Hampshire,NA,North America,year_round,2023-01-04,2023-12-27,0.6101938785318307,0.00107960730386095,0.00107960730386095,0.5148508575187457,0.00282668577802083,365,2023-03-01,0.00152862357235543
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-NJ,New Jersey,NA,North America,year_round,2023-01-04,2023-12-27,2.0483677843801456,0.00317206297966113,0.00317206297966113,0.8724143123170801,0.0041923233516393,365,2023-10-04,0.00359922699903394
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-NM,New Mexico,NA,North America,year_round,2023-01-04,2023-12-27,0.00480659201750362,1.1013649087221616e-4,1.1013649087221616e-4,0.0179697194055705,0.00127771324194838,365,2023-07-12,1.790185238716686e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-NY,New York,NA,North America,year_round,2023-01-04,2023-12-27,1.328631165908812,0.01265467635691441,0.01265467635691441,0.721371434036831,0.02132080869359597,365,2023-03-01,0.01483915728362694
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-OH,Ohio,NA,North America,year_round,2023-01-04,2023-12-27,3.9577850027721446,0.03108922730593678,0.03108922730593678,0.994841162497688,0.02424988044809178,365,2023-12-13,0.034762798768805
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-OK,Oklahoma,NA,North America,year_round,2023-01-04,2023-12-27,3.743342461868755,0.0491753349283443,0.0491753349283443,0.9366227398776744,0.03818128929332039,365,2023-05-31,0.05413808343745465
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-PA,Pennsylvania,NA,North America,year_round,2023-01-04,2023-12-27,2.297287696987614,0.01965884692291529,0.01965884692291529,0.8679584909538469,0.02304834447460536,365,2023-11-22,0.02222769027460643
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-RI,Rhode Island,NA,North America,year_round,2023-01-04,2023-12-27,1.973837344738505,5.1201189824019e-4,5.1201189824019e-4,0.9116875380772408,7.338593571419911e-4,365,2023-11-15,6.920109845758099e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-SC,South Carolina,NA,North America,year_round,2023-01-04,2023-12-27,4.214617747555293,0.02509843988475491,0.02509843988475491,0.9783128246228008,0.01807858383788672,365,2023-10-04,0.03095211281817325
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-SD,South Dakota,NA,North America,year_round,2023-01-04,2023-12-27,0.04588246760771231,6.64894892361253e-4,6.64894892361253e-4,0.14942210228337205,0.00671922522017588,365,2023-05-24,0.00130093557031697
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-TN,Tennessee,NA,North America,year_round,2023-01-04,2023-12-27,4.434465044023691,0.03524802964245543,0.03524802964245543,0.993482540667804,0.0245048458217188,365,2023-12-20,0.04170529352048705
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-TX,Texas,NA,North America,year_round,2023-01-04,2023-12-27,3.454959735975274,0.17402260318809804,0.17402260318809804,0.7657821622989618,0.1196922530942048,365,2023-06-07,0.1851498531325607
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-VA,Virginia,NA,North America,year_round,2023-01-04,2023-12-27,3.370645697333185,0.02647550888652517,0.02647550888652517,0.9501149677507886,0.02315823719183155,365,2023-09-27,0.0303106123908251
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-VT,Vermont,NA,North America,year_round,2023-01-04,2023-12-27,0.3962230122553505,7.062713509335911e-4,7.062713509335911e-4,0.3953080825080008,0.00218658172755099,365,2023-03-01,0.00112161379979129
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-WI,Wisconsin,NA,North America,year_round,2023-01-04,2023-12-27,1.248283497053407,0.01348158823611606,0.01348158823611606,0.6273072448702843,0.02102356000148431,365,2023-02-22,0.01628688364168858
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-WV,West Virginia,NA,North America,year_round,2023-01-04,2023-12-27,2.884936155864862,0.01316254782207193,0.01316254782207193,0.9263333988360852,0.01311502745621496,365,2023-01-18,0.01623687657251865
